vehicle_id,vehicle_type,mileage,avg_daily_km,engine_health,brakes_health,tyres_health,battery_health,coolant_temp_c,vibration_rms,brake_pad_mm,days_since_last_service,is_overdue,risk_score,failure_within_30d
FL-1053,Utility Pickup,214006,418,26.5,23.9,55.9,36.5,104.6,3.39,4.1,26,0,60,1
FL-1054,Mini Truck,78783,374,88.7,52.5,33.1,89.5,85.9,1.2,7.1,97,1,50,0
FL-1055,Light Truck,319571,97,37.7,74.4,85.8,45.6,102.7,2.76,9.5,92,1,65,0
FL-1056,Heavy Truck,283979,386,90.9,31.3,41,51.5,85.4,1.14,5,140,1,61,1
FL-1057,Utility Pickup,32029,146,82.7,66.3,68.7,56.3,88.5,1.3,8.7,140,1,47,1
FL-1058,Utility Pickup,430614,387,38.6,31.7,32.7,44.9,103.1,2.89,4.9,42,0,60,1
FL-1059,Rigid Truck,401670,148,58.5,94.2,35.8,78.7,94.8,2.15,11.4,51,0,31,0
FL-1060,Heavy Truck,226223,266,37,68.8,27.9,91,101.8,2.92,8.8,158,1,68,1
FL-1061,Heavy Truck,154195,175,72.9,97.8,38.5,40.7,90.2,1.6,11.9,84,0,28,0
FL-1062,Rigid Truck,100567,95,66,29,27,64.3,92.4,1.87,4.6,17,1,69,1
FL-1063,Rigid Truck,154331,314,67.1,62.1,84.5,93.5,93.2,1.71,8.3,162,1,50,0
FL-1064,Mini Truck,546718,442,83.7,38.9,69.6,35.6,86.4,1.4,5.9,119,1,63,1
FL-1065,Mini Truck,376977,427,22.2,35.9,82.5,49.8,106.1,3.34,5.4,28,0,54,0
FL-1066,Light Truck,128469,281,57.2,49.5,61.2,43.2,94.6,2.33,6.8,153,1,63,1
FL-1067,Rigid Truck,547331,285,44.2,60.3,53.9,85.1,99.8,2.76,8.1,119,1,70,1
FL-1068,Light Truck,390206,267,27.1,41.4,84.6,50.2,106.2,3.2,6.2,26,0,51,0
FL-1069,Light Truck,122497,424,78.5,38.5,61.8,65.2,89.8,1.36,5.6,147,1,58,1
FL-1070,Rigid Truck,40081,121,27.3,65.9,49.5,98.5,105.9,3.24,8.4,33,0,41,0
FL-1071,Rigid Truck,154087,340,61.6,61.2,84.4,78.1,94.6,2,8.1,147,1,53,0
FL-1072,Utility Pickup,413331,310,28.2,75.2,37.3,81.6,103.5,3.08,9.5,119,1,69,0
FL-1073,Light Truck,354998,308,65.3,73,30.6,96,94.1,1.95,9.1,85,0,35,0
FL-1074,Light Truck,231519,268,60.4,65.9,42.4,59.1,95.8,2.05,8.5,36,0,38,1
FL-1075,Heavy Truck,541791,389,55.8,91.7,93.1,53,95.8,2.13,11.1,114,1,56,0
FL-1076,Light Truck,35124,323,78.7,61.8,66.8,61.4,89.4,1.52,8.2,120,1,51,0
FL-1077,Heavy Truck,311766,301,62.7,91.3,90.9,42,93,2.07,11.2,81,0,26,0
FL-1078,Mini Truck,538674,202,72.5,82.9,37.8,47.4,90.1,1.72,10.3,49,0,38,0
FL-1079,Light Truck,532041,174,91.7,52.3,72,77.9,85,0.96,7.2,63,0,29,0
FL-1080,Rigid Truck,527275,306,77.7,56.3,86.1,91.8,88.8,1.62,7.7,128,1,54,0
FL-1081,Light Truck,126908,368,48.8,51.7,54,46.1,98.8,2.4,7.2,24,0,43,0
FL-1082,Heavy Truck,89614,154,62.9,51.9,48.5,97.4,93.6,2.06,7,140,1,57,0
FL-1083,Mini Truck,107574,423,28.2,94.3,80.7,78.3,105.7,3.11,11.6,6,0,31,0
FL-1084,Heavy Truck,392447,174,67.6,79.8,31.3,48.5,91.6,1.78,10,53,0,37,0
FL-1085,Rigid Truck,468735,362,66.7,54.4,46.1,52.3,92.8,1.98,7.2,49,0,44,0
FL-1086,Light Truck,74844,221,90.6,95.4,46.8,88.6,86.3,0.97,11.6,44,0,14,0
FL-1087,Rigid Truck,419862,406,90,27.3,26.9,39.2,85.5,1.12,4.4,127,1,69,1
FL-1088,Rigid Truck,80145,311,85.3,39.3,69.1,63,85.4,1.35,5.9,92,1,55,0
FL-1089,Mini Truck,512981,293,37.5,52.6,84.1,39.5,103.3,2.97,7.2,135,1,72,1
FL-1090,Heavy Truck,60876,211,91.3,48,26.5,74.4,86,0.96,6.9,62,0,31,0
FL-1091,Rigid Truck,71761,316,64,55.6,92.5,45.9,94.5,2.11,7.5,175,1,56,0
FL-1092,Rigid Truck,247234,379,67.8,46.6,95.9,82.3,91.3,1.92,6.4,147,1,54,1
FL-1093,Heavy Truck,264959,400,77.2,54.9,89.8,59.1,90.1,1.44,7.5,46,0,31,0
FL-1094,Mini Truck,172056,243,86.6,79.3,68.2,42.1,85.5,1.16,10.1,152,1,48,0
FL-1095,Rigid Truck,187610,115,49.7,87.5,47.4,66.7,98.4,2.56,10.9,77,0,33,0
FL-1096,Heavy Truck,217996,158,55.3,37.4,43.5,45.1,97.5,2.3,5.6,150,1,72,1
FL-1097,Heavy Truck,500336,377,26.2,24.7,46.5,73.2,106.3,3.34,4.4,76,0,62,0
FL-1098,Heavy Truck,125535,289,31.8,26.5,32.6,94.7,102.6,3.12,4.7,87,0,52,1
FL-1099,Rigid Truck,65725,358,72.5,58.6,89.8,98.1,91,1.76,7.9,121,1,45,1
FL-1100,Heavy Truck,375506,220,48.8,94.8,80.2,56.4,99,2.51,11.7,17,1,55,0
FL-1101,Heavy Truck,368797,404,61.3,86.3,69.8,90.8,95.7,2.04,10.5,4,0,26,0
FL-1102,Mini Truck,285786,165,27.2,85.6,90.9,76.8,106.5,3.24,10.4,48,0,35,0
FL-1103,Rigid Truck,479488,329,88.6,79,85.5,98,87,1.18,9.8,97,1,45,0
FL-1104,Heavy Truck,369058,400,67.7,86.7,32.9,68.2,91.3,1.98,10.6,126,1,58,0
FL-1105,Heavy Truck,510302,307,55.7,94.4,79.4,86.8,96.1,2.4,11.2,175,1,51,0
FL-1106,Mini Truck,403069,278,47.4,60.5,67,91,98.1,2.58,8.1,106,1,63,1
FL-1107,Rigid Truck,234548,455,35.9,48.7,51.7,93.1,101.5,2.83,6.8,54,0,47,1
FL-1108,Heavy Truck,291889,458,61.8,53.5,31.8,94.9,92.7,2.08,7.4,139,1,64,0
FL-1109,Light Truck,228955,114,86.2,76.5,72.8,96.2,86.7,1.21,9.7,174,1,44,0
FL-1110,Utility Pickup,347863,89,34.9,75.5,40.1,88.8,103.4,2.89,9.5,160,1,65,1
FL-1111,Mini Truck,32353,245,33.1,62.4,37.3,35.4,102.4,3.16,8,90,0,46,0
FL-1112,Utility Pickup,362329,371,43,60.8,78.8,48.7,99.9,2.66,8.1,42,0,43,0
FL-1113,Rigid Truck,367158,425,39.4,84.6,33.9,57.2,100.6,2.87,10.2,57,0,44,0
FL-1114,Utility Pickup,244880,431,68.4,90.4,71,70.2,93.3,1.77,10.9,120,1,46,0
FL-1115,Light Truck,509071,82,77.3,28.8,41.2,62.7,90.7,1.48,4.7,97,1,71,0
FL-1116,Heavy Truck,372280,450,65.6,63.8,60.5,82.8,92.5,1.84,8.5,107,1,57,1
FL-1117,Heavy Truck,249915,434,66,93.2,56.3,58.8,91.5,1.88,11.5,92,1,49,0
FL-1118,Light Truck,50159,159,38.7,30.1,87.9,50.7,101.4,2.86,4.9,84,0,45,1
FL-1119,Light Truck,64855,383,62.8,82.7,61.2,74.7,94.7,2.05,10.2,139,1,49,0
FL-1120,Utility Pickup,394657,388,56.9,96.3,69.4,53.3,95.9,2.07,11.7,140,1,56,0
FL-1121,Light Truck,23615,268,55.4,23,89.2,80.2,95.4,2.21,4.1,27,0,39,0
FL-1122,Utility Pickup,330312,331,28.2,44,88.8,76.6,106.1,3.29,6.4,81,0,45,0
FL-1123,Light Truck,449298,153,71.5,31.2,54.1,62.3,92.4,1.59,4.9,73,0,44,0
FL-1124,Light Truck,177442,456,50.4,37.4,48.8,76.5,96.4,2.42,5.4,42,1,68,1
FL-1125,Utility Pickup,466621,194,47,85.8,58.1,59.6,99.6,2.51,10.6,170,1,62,0
FL-1126,Utility Pickup,478244,184,29.7,79.6,30.7,97,103.3,3.06,9.8,125,1,68,0
FL-1127,Mini Truck,177049,113,81.6,20.8,46.7,33,87.1,1.45,3.9,127,1,67,1
FL-1128,Utility Pickup,331671,122,87.2,70.6,38.1,71.5,86.2,1.25,8.9,97,1,54,0
FL-1129,Utility Pickup,543960,448,83.2,52.5,51.2,46,88.7,1.28,7.1,172,1,63,1
FL-1130,Light Truck,502384,447,61.8,82.5,88.8,88.5,93.8,2.13,10.1,127,1,53,0
FL-1131,Rigid Truck,342739,157,97.5,66.4,54.3,52,82,0.79,8.7,172,1,48,0
FL-1132,Heavy Truck,84727,345,66.9,88.4,91.9,31.4,92.7,1.8,10.7,85,0,24,0
FL-1133,Heavy Truck,246987,312,25.9,87.4,35.3,45.8,104.4,3.24,10.8,68,0,44,1
FL-1134,Mini Truck,32852,219,51.4,66.9,48.5,55.3,97.5,2.47,8.7,118,1,58,1
FL-1135,Utility Pickup,116921,267,62.4,66.4,29.8,65.4,95.2,1.92,8.8,47,0,36,0
FL-1136,Mini Truck,52385,334,96.1,66.7,25.3,48.5,83.3,0.86,8.6,87,0,27,0
FL-1137,Mini Truck,121473,108,57.8,37.5,56.2,69.1,94.9,2.09,5.8,85,0,42,0
FL-1138,Mini Truck,48740,359,20.5,42.3,59.4,90.4,108.6,3.46,6,141,1,70,0
FL-1139,Heavy Truck,123713,279,58.8,61.2,52,31,95.5,2.07,8.2,100,1,62,1
FL-1140,Heavy Truck,342366,448,29.9,70.5,39,56.6,105.1,3.06,8.8,171,1,72,1
FL-1141,Rigid Truck,58223,164,23.8,74.3,67.7,63,106.9,3.24,9.3,29,0,42,0
FL-1142,Utility Pickup,381679,252,54,31.5,70.3,85.1,97.3,2.26,5,3,0,45,1
FL-1143,Mini Truck,138485,295,37.6,45.5,49.3,59.2,102.7,2.82,6.5,87,0,49,0
FL-1144,Light Truck,514061,226,75.9,59,59.8,41.1,90.2,1.68,7.9,156,1,64,1
FL-1145,Rigid Truck,241251,114,32.7,66.4,54.6,68.5,104.2,3.04,8.5,142,1,67,1
FL-1146,Rigid Truck,36224,344,51,97.7,41.6,77,98.7,2.3,11.6,50,0,27,0
FL-1147,Light Truck,138782,353,88.6,67,59.6,41.3,85.2,1.22,8.7,93,1,49,1
FL-1148,Heavy Truck,294930,257,74.2,83,46.5,76,89.4,1.53,10.4,85,0,27,0
FL-1149,Mini Truck,289842,376,18.7,83.4,55.6,46.2,106.9,3.52,10.4,102,1,72,1
FL-1150,Mini Truck,336283,420,54.8,38.6,90,31.6,95.4,2.35,5.8,60,0,44,0
FL-1151,Mini Truck,250946,359,42.9,64.6,66.1,82.9,99,2.66,8.4,31,1,62,1
FL-1152,Utility Pickup,478592,287,23,68.5,51.1,62.1,106.6,3.43,8.8,131,1,75,1
FL-1153,Mini Truck,449835,162,57.8,42.2,90.7,97.3,95,2.14,6,7,0,36,0
FL-1154,Rigid Truck,306507,229,58.5,80.5,30,94.7,94,2.04,10.1,174,1,59,0
FL-1155,Heavy Truck,204412,83,60.4,52.9,49.1,43.2,93.6,2.13,7.2,124,1,63,0
FL-1156,Rigid Truck,425490,289,66.8,84.4,45,61.3,91.7,1.97,10.5,131,1,58,0
FL-1157,Heavy Truck,238347,91,47.9,86.9,50.9,76.3,99.9,2.48,10.5,34,0,33,0
FL-1158,Light Truck,27252,150,84.9,44.7,44.9,54.2,86.2,1.13,6.3,9,0,32,0
FL-1159,Utility Pickup,405549,152,61.9,84.7,34.2,79.9,93.8,2.07,10.5,114,1,59,1
FL-1160,Mini Truck,433351,209,41,70.9,68.1,46.6,101.1,2.67,8.9,97,1,66,1
FL-1161,Light Truck,322640,162,38.2,51.6,39.9,60.8,101.8,2.98,7.1,137,1,76,1
FL-1162,Rigid Truck,389219,326,20,28.1,63.1,68.6,108,3.45,4.6,170,1,85,1
FL-1163,Light Truck,505572,177,42.5,20.4,52.6,67.4,99,2.76,3.8,167,1,81,1
FL-1164,Heavy Truck,556406,139,84.5,60.2,67.7,34.2,85.8,1.2,7.9,56,0,35,0
FL-1165,Heavy Truck,422679,239,39,25,48.2,90.2,103,2.73,4.5,45,1,79,1
FL-1166,Mini Truck,157387,194,80.3,63.6,87.7,32.5,88.8,1.42,8.5,45,0,27,0
FL-1167,Heavy Truck,332347,445,43.5,30.1,85.4,31.9,99.1,2.57,4.7,125,1,74,1
FL-1168,Mini Truck,351915,272,48.4,65.8,79.1,96.6,98.3,2.36,8.6,76,0,36,0
FL-1169,Rigid Truck,538825,338,21.9,76.8,33.1,42,107.4,3.37,9.6,124,1,80,1
FL-1170,Mini Truck,128717,216,32.9,27.8,77.1,36.4,103.3,3.07,4.8,105,1,78,1
FL-1171,Heavy Truck,350464,408,76.4,39.1,53.9,59.4,89.8,1.41,5.6,18,0,42,0
FL-1172,Utility Pickup,531440,157,24.1,45.9,31.9,83.7,105,3.38,6.3,147,1,82,1
FL-1173,Utility Pickup,451008,373,22.8,43.9,26.1,46,106.6,3.28,6.4,135,1,85,1
FL-1174,Mini Truck,25871,112,61.8,25.2,43.6,65,92.8,1.92,4.2,151,1,68,0
FL-1175,Rigid Truck,149863,393,24.2,38.3,43.7,69.4,106.7,3.5,5.7,118,1,78,1
FL-1176,Heavy Truck,342559,219,85.7,54.2,77.2,42,85.9,1.27,7.4,76,0,31,0
FL-1177,Light Truck,142262,261,33.2,38.1,43.7,86.8,103.9,2.95,5.5,117,1,73,0
FL-1178,Light Truck,465310,372,24,50.9,93.4,73.8,107,3.24,7.1,53,0,49,0
FL-1179,Rigid Truck,532173,269,76.2,48.7,67.6,88.8,89.1,1.46,6.8,70,1,58,0
FL-1180,Mini Truck,233624,325,44.3,63.2,80.3,62.4,99.7,2.6,8.3,4,0,36,0
FL-1181,Heavy Truck,457914,460,74.8,83.8,94.3,41.9,89.4,1.7,10.5,102,1,49,0
FL-1182,Rigid Truck,468207,246,76.2,42.7,52.6,32.4,90.3,1.6,6.2,154,1,69,0
FL-1183,Rigid Truck,374584,83,88.4,70.9,32.3,93.7,85.1,0.98,9.1,70,0,29,0
FL-1184,Mini Truck,22684,422,60.8,40.8,28,48.6,95.1,2.11,6.1,122,1,66,1
FL-1185,Utility Pickup,402382,221,55.2,75.7,78.7,92.5,95.9,2.14,9.5,124,1,55,0
FL-1186,Light Truck,206782,457,82.8,95.6,35.6,62.9,87.5,1.25,11.4,17,0,22,0
FL-1187,Mini Truck,362026,352,77.9,51.2,78.4,72.9,89.5,1.5,7.2,30,0,33,0
FL-1188,Mini Truck,549021,188,87.9,24.6,66.7,89.4,85.4,1.22,4.4,81,0,39,0
FL-1189,Light Truck,265619,186,85.9,94.5,29.2,86.8,86.6,1.23,11.5,111,1,47,0
FL-1190,Light Truck,235012,145,32.9,36.3,81.6,31.5,102.3,3.01,5.6,67,0,50,0
FL-1191,Rigid Truck,121356,425,50.2,47.9,44.6,49.3,97.8,2.38,6.5,47,0,46,0
FL-1192,Heavy Truck,459884,267,81.6,25.2,43.6,31.4,86.8,1.29,4.5,14,0,47,0
FL-1193,Mini Truck,512735,401,90.6,52,94,88.1,83.7,0.96,7.1,56,1,48,0
FL-1194,Rigid Truck,258421,146,43.6,83.2,67.9,81.2,99.2,2.7,10.1,43,1,55,0
FL-1195,Light Truck,264176,152,62.4,44.2,61.4,67.7,93.9,2.02,6.2,115,1,64,0
FL-1196,Mini Truck,110556,405,66.6,43.5,42.7,88.6,93,1.9,6.3,165,1,59,1
FL-1197,Rigid Truck,98012,371,25.8,63.2,64.3,53.7,105.4,3.25,8.4,116,1,67,0
FL-1198,Light Truck,324429,111,86.1,93.7,66.4,33.1,85,1.21,11.2,53,0,24,0
FL-1199,Utility Pickup,465925,143,91.7,82.2,76.1,64.7,85.5,0.88,10.3,35,0,23,0
FL-1200,Utility Pickup,231025,155,46.4,82,78.6,72,99.4,2.64,10,58,0,33,0
FL-1201,Heavy Truck,273128,150,71.2,40.1,55.2,90.4,90.7,1.74,6,115,1,60,0
FL-1202,Rigid Truck,277152,203,72.9,29.1,55.3,63.9,89.2,1.65,4.8,9,1,68,1
FL-1203,Light Truck,40814,284,71.9,80.8,88.3,54.7,91.1,1.74,10.2,137,1,46,0
FL-1204,Heavy Truck,506062,214,77.9,58.5,37,83.8,90.1,1.57,7.7,97,1,63,1
FL-1205,Light Truck,532726,440,41.9,73.8,60.3,56.4,100,2.81,9.3,105,1,69,1
FL-1206,Light Truck,406056,384,68.5,96.3,74.8,68.3,91.6,1.88,11.6,48,1,48,1
FL-1207,Rigid Truck,474005,212,23.5,95.9,68.7,34.3,105.2,3.42,11.5,128,1,70,1
FL-1208,Light Truck,535454,270,22.3,97.1,53.7,92.7,106.4,3.4,11.8,92,1,65,0
FL-1209,Heavy Truck,25055,433,28.7,91.4,85,36.5,104.7,3.33,11,58,0,34,0
FL-1210,Heavy Truck,248726,377,65.7,91.3,25.5,81.8,91.7,1.95,10.9,123,1,53,1
FL-1211,Light Truck,240793,81,58.5,91.7,41.6,88.2,95.3,2.24,11.2,71,0,27,0
FL-1212,Rigid Truck,317178,313,29.8,42.4,89.8,40.9,103.6,3.01,6.1,173,1,76,1
FL-1213,Light Truck,251525,348,22.5,72.7,57.4,72.6,106.6,3.27,9.2,65,0,43,0
FL-1214,Rigid Truck,461111,393,87.3,34.9,43.2,75.6,85,1.21,5.3,38,1,64,1
FL-1215,Mini Truck,99737,188,61.2,30.7,82.4,49.5,95.1,2.14,4.7,74,0,40,0
FL-1216,Light Truck,445608,392,57.9,55.7,82.2,52.3,94.4,2.06,7.4,3,1,63,0
FL-1217,Heavy Truck,356733,110,33.8,41.6,56.3,66.8,103.7,3.04,6.2,162,1,77,1
FL-1218,Rigid Truck,240696,151,68.1,81,77.5,68.8,93.3,1.95,9.9,88,0,24,0
FL-1219,Mini Truck,392966,138,77.9,87.8,84.1,92.9,90.2,1.6,10.9,111,1,42,0
FL-1220,Rigid Truck,23043,110,82.2,75.9,60,71.3,87.7,1.19,9.6,14,0,22,0
FL-1221,Heavy Truck,443254,417,29.6,54,88,31.4,104.4,3.23,7.2,81,0,49,0
FL-1222,Utility Pickup,186925,130,52.4,56.1,40,72,96.2,2.42,7.6,115,1,65,1
FL-1223,Heavy Truck,24488,103,97,42.3,79.3,62,82.4,0.72,6.1,162,1,45,0
FL-1224,Rigid Truck,281954,435,52,78.7,78.5,78.1,97.6,2.37,10,129,1,56,0
FL-1225,Rigid Truck,180911,367,60.3,74.5,26,66.2,95.7,2.04,9.5,60,0,36,0
FL-1226,Rigid Truck,424795,268,69.9,92.9,59.5,46.3,91.5,1.88,11.3,112,1,53,0
FL-1227,Mini Truck,78526,274,29.3,32.7,84.7,64.1,106.1,3.05,5.2,72,0,47,0
FL-1228,Heavy Truck,385775,118,56.4,96.9,56.7,30.3,95.2,2.19,11.7,127,1,56,1
FL-1229,Heavy Truck,364563,365,50.5,23.1,26.3,51.8,97.4,2.41,4.3,167,1,81,0
FL-1230,Utility Pickup,524611,458,51.7,83.6,86.7,38.2,98.5,2.46,10.1,140,1,60,1
FL-1231,Rigid Truck,250639,348,55.6,23.5,45.9,81.1,95.3,2.36,4.1,36,0,50,0
FL-1232,Light Truck,415799,302,72,73,47.7,74.6,91.7,1.8,9.3,78,0,31,0
FL-1233,Utility Pickup,22017,94,45,86.4,77.7,83.8,98.8,2.61,10.7,32,1,52,0
FL-1234,Mini Truck,438410,345,59,73.3,32.1,54.6,94,2.09,9.2,97,1,64,0
FL-1235,Utility Pickup,249702,385,80.9,44.7,95.5,87.8,89.1,1.41,6.3,147,1,49,0
FL-1236,Heavy Truck,219938,435,71.6,93.5,92.9,92.3,90,1.81,11.4,14,0,15,0
FL-1237,Mini Truck,449057,366,55.8,45.4,68.1,84,94.7,2.22,6.3,66,0,41,0
FL-1238,Mini Truck,432631,421,91.1,74,79.1,66.7,85,1.1,9.5,93,1,49,0
FL-1239,Utility Pickup,543745,449,84.4,46.1,92.1,43.9,87,1.38,6.5,137,1,60,1
FL-1240,Mini Truck,547813,417,58,44.3,46.6,32.3,94.2,2.24,6.4,164,1,76,1
FL-1241,Light Truck,547223,262,24.7,47.9,87.5,49.2,105.8,3.4,6.8,59,0,54,0
FL-1242,Heavy Truck,182402,302,61.3,93.8,34.5,68.1,95.1,2.14,11.5,175,1,55,0
FL-1243,Light Truck,102129,307,20.2,27.7,89.2,94.7,107.3,3.41,4.8,7,0,47,0
FL-1244,Rigid Truck,298613,280,37.3,41.1,60.8,62.5,103.2,2.91,5.9,48,0,51,0
FL-1245,Heavy Truck,99815,185,80.8,52.1,78.8,55.3,89.2,1.43,6.9,127,1,52,1
FL-1246,Utility Pickup,74036,179,86.8,60.9,95.5,75.1,87.4,1.04,8.1,124,1,44,0
FL-1247,Heavy Truck,467477,312,40,31.2,45.8,54.2,102.4,2.79,4.8,44,0,58,0
FL-1248,Utility Pickup,546396,88,58.7,22.4,61.8,81,95.7,2.21,4.2,148,1,73,1
FL-1249,Mini Truck,224506,203,91.6,60.3,55.2,56.3,85.5,0.87,8.1,91,1,53,1
FL-1250,Rigid Truck,153484,88,57.8,69.3,65,83.2,96.6,2.14,9,149,1,53,0
FL-1251,Utility Pickup,555290,265,82.1,32.3,84.8,31.5,87.2,1.2,5.2,16,0,41,0
FL-1252,Heavy Truck,259801,221,37.9,42.7,59.4,34,103.3,2.81,6.3,101,1,75,1
FL-1253,Heavy Truck,424372,248,63.3,36,47.9,93.7,93.8,2.09,5.6,94,1,67,1
FL-1254,Light Truck,179129,314,48.5,26.8,50.9,77.4,98.5,2.39,4.5,33,0,47,0
FL-1255,Mini Truck,378121,426,74.5,47.8,51.4,86.5,89.2,1.52,6.6,26,0,35,0
FL-1256,Heavy Truck,457664,395,63.7,25.4,63.4,92.9,94.6,1.88,4.5,22,0,45,1
FL-1257,Rigid Truck,155198,325,97.5,77.4,34.6,33.3,84.1,0.9,9.7,88,0,26,0
FL-1258,Light Truck,73170,434,60.4,51.3,94.2,95.3,93.3,2.07,7.1,116,1,53,1
FL-1259,Heavy Truck,110461,395,44.9,51.9,65.8,38.5,99.2,2.64,7.2,118,1,69,1
